DATE;TIME;GAME;BET;ODDS;STAKE;STATUS;RESULT;TIPSTER;SPORT;BOOKIE
"2025-10-27";"10:26:00";"Norrie, C - Baez, S";"Match Result: Norrie, C";"1.92";"300";"won";"276";"My bets";"Football";"Coolbet"
"2025-10-26";"13:27:00";"Real Madrid - FC Barcelona";"Double Chance: Real Madrid/Draw";"5.11";"400";"won";"1644";"My bets";"Football";"Coolbet"
"2025-10-25";"12:25:00";"OSI Volleyball - NTNUI";"Match Winner: NTNUI";"1.74";"500";"won";"370";"My bets";"Football";"Coolbet"
"2025-10-25";"01:59:00";"Houston Rockets - Detroit Pistons";"Kevin Durant Total Rebounds 4.5: Over 4.5";"1.83";"238";"lost";"-238";"My bets";"Football";"Coolbet"
"2025-10-25";"00:50:00";"Houston Rockets - Detroit Pistons";"Kevin Durant Total Rebounds 4.5: Over 4.5";"3.13";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-10-25";"00:34:00";"Virginia Tech Hokies - California-Berkeley Golden Bears";"Money Line: Virginia Tech Hokies";"2.40";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-10-24";"14:22:00";"Al-Ittihad Jeddah - Al-Hilal Riyadh";"Both Teams to Score and Total Goals 2.5: Yes and Over 2.5";"2.35";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-10-24";"14:20:00";"Fonseca, J - Shapovalov, D";"Match Result: Fonseca, J";"2.40";"300";"won";"420";"My bets";"Football";"Coolbet"
"2025-10-24";"14:19:00";"Humbert, U - Opelka, R";"Match Result: Humbert, U";"2.49";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-10-24";"14:18:00";"Griekspoor, T - Zverev, A";"Game Handicap 3.5 - 0: Griekspoor, T +3.5";"1.30";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-10-23";"19:22:00";"Fritz, T - Humbert, U";"Match Result: Fritz, T";"2.59";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-10-23";"19:20:00";"AZ Alkmaar - Slovan Bratislava";"Match Result (1X2): AZ Alkmaar";"1.95";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-10-22";"20:50:00";"FC Bayern München - Club Brugge";"Match Result (1X2): FC Bayern München";"1.92";"500";"won";"460";"My bets";"Football";"Coolbet"
"2025-10-22";"16:11:00";"Galatasaray SK - Bodø/Glimt";"Match Result (1X2): Bodø/Glimt";"5.30";"200";"lost";"-200";"My bets";"Football";"Coolbet"
"2025-10-22";"16:11:00";"Indykpol AZS Olsztyn - Jastrzebski Wegiel";"Match Winner: Jastrzebski Wegiel";"1.76";"350";"won";"266";"My bets";"Football";"Coolbet"
"2025-10-22";"14:27:00";"Griekspoor, T - Nakashima, B";"Match Result: Griekspoor, T";"1.92";"300";"won";"276";"My bets";"Football";"Coolbet"
"2025-10-22";"12:11:00";"FC Bayern München - Club Brugge";"Match Result (1X2): FC Bayern München";"1.78";"400";"won";"312";"My bets";"Football";"Coolbet"
"2025-10-22";"10:13:00";"Mensik, J - Fonseca, J";"Match Result: Fonseca, J";"1.00";"450";"pushed";"0";"My bets";"Football";"Coolbet"
"2025-10-21";"21:33:00";"Union Saint Gilloise - Internazionale";"Match Result (1X2): Internazionale";"3.01";"300";"won";"603";"My bets";"Football";"Coolbet"
